id,name,description,category,brand,price,stock_quantity,sku,created_at,updated_at
d5871bd0-c72e-447d-8c85-5cbb903d0eb0,error: Access denied to method rand.,Frozen smoothie blend with berries for a quick and healthy breakfast.,Home,Trinseo S.A.,3.99,,1,2026-12-20,
43f14880-2fe2-4bb3-bd45-944441967b46,error: Access denied to method rand.,Adjustable tripod for smartphones and cameras.,Eletronics,Southern California Edison Company,29.99,377,2,2025-07-24,2025-11-29
3129bec1-1d0b-41c7-9c5e-42586ade6b3b,error: Access denied to method rand.,Convenient holder for drinks and phones while driving.,Books,"SandRidge Energy, Inc.",14.99,,3,2025-10-19,2026-04-30
f05d7d37-6472-488b-82be-2ed89ad3a486,error: Access denied to method rand.,Quick and easy side dish with buttery flavor.,Clothing,Morgan Stanley,1.79,233,4,2026-02-18,
1859f46e-61f0-4dcb-af6e-e299c7cefd81,error: Access denied to method rand.,"Natural pink salt, perfect for seasoning.",electronics,ContraFect Corporation,4.99,433,5,2025-07-04,2025-07-23
3a10fa63-fca8-48cd-849d-1189d9857887,error: Access denied to method rand.,"Delicious soft cookies, dairy-free and egg-free, perfect for treats.",ELETRONICS,Ivy NextShares,4.79,353,6,2026-06-10,
e9bbe60a-6088-4685-8c3a-9694e0b55480,error: Access denied to method rand.,Flavorful dressing made with miso paste,Home,Tiffany & Co.,3.49,66,7,2025-10-02,
c8c04901-5ea9-44c7-9df3-3c4efc116291,error: Access denied to method rand.,"Creamy cheese with a spicy kick, perfect for sandwiches.",N/A,"Strayer Education, Inc.",3.49,280,8,2025-04-08,
786fa989-1132-458b-bef3-07efdb20389f,error: Access denied to method rand.,Convenient belt with pockets for easy access to tools while gardening.,Unknown,"Zoe's Kitchen, Inc.",22.99,215,9,2026-11-21,
da2c0b50-67f4-46ca-90e7-12c9cd27a1a0,error: Access denied to method rand.,Chewy granola bars with maple and cinnamon flavor.,clothing,Diamondrock Hospitality Company,3.49,,10,2025-10-19,
ff6dca25-6b17-4d9b-8619-4ee078db7462,error: Access denied to method rand.,Marinated beef strips in teriyaki sauce for easy grilling.,ELETRONICS,Aramark,7.49,,11,2025-12-13,
a3fb7570-0d6f-4f66-afc1-b93a21734746,error: Access denied to method rand.,Infuser for brewing loose-leaf herbal teas easily.,,"Continental Building Products, Inc.",9.99,461,12,2026-07-23,
